,0,1,2
386,1159,92.38749694824219,9.5
387,1160,93.1240005493164,4.5
388,1162,94.9260025024414,2.5
389,1168,94.11100006103516,9.5
390,1171,95.24500274658203,9.5
391,1172,95.1449966430664,4.5
392,1173,95.26950073242188,2.5
393,1176,99.90499877929688,1.0
394,1182,97.60350036621094,9.5
395,1185,99.5,9.5
396,1190,96.32099914550781,9.5
397,1191,97.21499633789062,5.0
398,1192,95.75050354003906,2.5
399,1193,96.71800231933594,1.0
400,1194,98.72750091552734,0.5
401,1195,98.74250030517578,0.5
402,1199,98.56549835205078,10.0
403,1201,95.47100067138672,5.0
404,1204,93.51599884033203,10.0
405,1210,91.58650207519531,10.0
406,1221,83.27649688720703,11.0
407,1222,83.27649688720703,5.5
408,1235,75.83650207519531,12.0
409,1236,75.10299682617188,6.0
410,1237,79.06649780273438,2.5
411,1238,79.07099914550781,1.5
412,1239,83.88749694824219,0.5
413,1240,83.67849731445312,0.5
414,1250,79.59549713134766,13.0
415,1255,68.87249755859375,14.5
416,1256,67.197998046875,7.5
417,1262,75.01399993896484,14.5
418,1264,81.47550201416016,6.5
419,1267,82.81099700927734,13.5
420,1271,84.18900299072266,13.5
421,1274,81.6084976196289,14.0
422,1276,82.74649810791016,13.5
423,1277,83.52850341796875,7.0
424,1280,83.52149963378906,13.5
425,1284,82.94049835205078,13.5
426,1287,79.41100311279297,7.5
427,1288,79.55000305175781,3.5
428,1293,81.37899780273438,14.0
429,1294,81.1050033569336,7.0
430,1295,80.97200012207031,3.5
431,1297,81.6500015258789,14.0
432,1304,83.44750213623047,14.0
433,1305,81.29750061035156,7.0
434,1307,83.53099822998047,13.5
435,1312,87.10749816894531,13.0
436,1313,88.09249877929688,6.5
437,1316,88.2385025024414,13.5
438,1319,88.28500366210938,13.5
439,1321,89.0374984741211,13.0
440,1322,90.70950317382812,6.5
441,1323,90.6989974975586,3.5
442,1325,90.94300079345703,13.0
443,1327,92.49299621582031,6.5
444,1328,91.79199981689453,3.5
445,1330,92.20349884033203,13.0
446,1331,92.15299987792969,6.5
447,1332,92.24349975585938,3.5
448,1341,96.92150115966797,12.5
449,1349,94.99349975585938,12.5
450,1351,91.13400268554688,13.5
451,1354,95.37850189208984,13.0
452,1360,91.16400146484375,13.5
