Date,Close/Last,Volume,Open,High,Low
06/14/2017,$236.22,25917,$232.00,$236.52,$231.74
06/13/2017,$231.69,40011,$229.57,$231.69,$227.94
06/12/2017,$228.64,26697,$226.52,$229.8948,$224.00
06/09/2017,$227.06,28636,$229.11,$232.38,$225.00
06/08/2017,$228.85,30774,$230.22,$231.10,$226.03
06/07/2017,$230.11,30119,$226.66,$230.42,$225.25
06/06/2017,$226.41,44004,$225.99,$229.56,$224.025
06/05/2017,$225.91,52995,$232.94,$232.94,$225.91
06/02/2017,$231.75,47680,$232.78,$235.78,$231.22
06/01/2017,$231.21,57504,$228.48,$231.46,$225.28
05/31/2017,$227.74,84155,$228.20,$228.20,$225.14
05/30/2017,$227.41,67560,$226.02,$228.50,$223.55
05/26/2017,$225.67,46405,$224.40,$228.70,$222.2045
05/25/2017,$223.06,71286,$226.55,$229.84,$219.54
05/24/2017,$225.25,104379,$215.85,$227.23,$215.65
05/23/2017,$215.11,42907,$215.81,$217.70,$213.00
05/22/2017,$214.42,66124,$205.47,$216.05,$205.46
05/19/2017,$204.42,45768,$201.89,$205.50,$200.915
05/18/2017,$201.56,70525,$200.17,$203.51,$199.64
05/17/2017,$199.82,68348,$198.22,$201.635,$197.53
05/16/2017,$200.11,64407,$199.99,$202.00,$199.14
05/15/2017,$199.30,53598,$199.85,$202.445,$199.10
05/12/2017,$199.93,39850,$204.54,$204.54,$198.1055
05/11/2017,$203.67,51152,$205.09,$206.50,$202.74
05/10/2017,$204.57,91297,$202.01,$209.00,$195.95
05/09/2017,$203.15,45968,$204.73,$205.68,$202.05
05/08/2017,$205.00,37826,$205.74,$206.34,$203.3567
05/05/2017,$205.74,31386,$205.38,$206.38,$203.33
05/04/2017,$205.15,41191,$204.70,$205.875,$203.25
05/03/2017,$204.19,51680,$206.70,$210.765,$203.50
05/02/2017,$207.00,60380,$210.61,$213.65,$206.90
05/01/2017,$209.65,38727,$213.36,$214.5441,$208.1772
04/28/2017,$211.86,30760,$210.11,$213.39,$207.494
04/27/2017,$209.92,37444,$208.62,$211.21,$208.46
04/26/2017,$208.35,33990,$206.11,$210.1809,$205.73
04/25/2017,$207.29,77904,$210.68,$214.71,$205.75
04/24/2017,$209.10,31422,$206.02,$210.89,$206.02
