Date,Close/Last,Volume,Open,High,Low
04/04/2017,$124.68,5358383,$124.51,$124.765,$124.22
04/03/2017,$124.69,4956497,$124.73,$125.31,$124.2829
03/31/2017,$124.55,5657510,$124.11,$124.825,$124.03
03/30/2017,$124.66,4711589,$124.74,$125.43,$124.28
03/29/2017,$124.92,3970484,$125.05,$125.33,$124.36
03/28/2017,$125.66,5287426,$125.62,$125.78,$124.78
03/27/2017,$125.80,5004273,$125.16,$126.14,$125.15
03/24/2017,$125.48,6489792,$125.86,$126.36,$125.13
03/23/2017,$125.90,8504865,$126.10,$127.002,$125.66
03/22/2017,$126.26,10264430,$127.05,$127.65,$126.21
03/21/2017,$127.25,7580185,$128.38,$128.45,$127.14
03/20/2017,$128.07,5827478,$128.04,$128.42,$127.97
03/17/2017,$128.06,13300760,$128.45,$128.94,$127.95
03/16/2017,$128.46,7605720,$128.44,$128.70,$127.77
03/15/2017,$128.96,8358693,$127.05,$129.00,$126.60
03/14/2017,$127.05,7679697,$126.86,$127.75,$126.77
03/13/2017,$126.68,7011289,$125.83,$126.95,$125.79
03/10/2017,$126.21,7394931,$126.04,$126.49,$125.54
03/09/2017,$125.95,8570092,$124.58,$126.21,$124.17
03/08/2017,$124.10,7909551,$123.75,$124.68,$123.50
03/07/2017,$123.83,6643988,$122.58,$124.46,$122.39
03/06/2017,$123.71,6670613,$123.01,$124.4268,$122.60
03/03/2017,$123.79,5585401,$123.41,$123.93,$123.23
03/02/2017,$123.63,6947181,$123.75,$124.36,$123.02
03/01/2017,$123.86,9393865,$122.49,$124.45,$122.42
02/28/2017,$122.21,8885422,$122.01,$122.65,$121.94
02/27/2017,$122.40,5945993,$122.13,$122.88,$122.1033
02/24/2017,$122.73,10827470,$121.50,$122.74,$120.90
02/23/2017,$121.70,9977400,$119.52,$121.90,$119.48
02/22/2017,$119.52,5100873,$119.28,$119.77,$119.25
02/21/2017,$119.66,8594948,$118.40,$119.89,$118.32
02/17/2017,$118.86,8689766,$118.19,$118.90,$118.05
02/16/2017,$118.08,7116860,$117.00,$118.28,$116.995
02/15/2017,$117.20,5978352,$115.90,$117.46,$115.59
02/14/2017,$116.36,5538935,$115.44,$116.40,$115.32
02/13/2017,$115.88,5708370,$115.28,$116.12,$115.22
02/10/2017,$115.24,6438530,$114.32,$115.99,$114.23
02/09/2017,$114.08,5854484,$113.47,$114.65,$113.40
02/08/2017,$113.40,5271595,$113.30,$113.69,$113.15
02/07/2017,$113.48,5507884,$113.60,$113.62,$113.05
02/06/2017,$113.40,6178403,$113.46,$113.59,$112.62
02/03/2017,$113.64,7267561,$113.50,$113.66,$112.66
02/02/2017,$113.57,7825354,$112.82,$113.62,$112.77
02/01/2017,$113.23,7081008,$112.48,$113.32,$112.47
01/31/2017,$113.25,8713170,$112.79,$113.40,$112.43
01/30/2017,$113.13,6964226,$113.40,$113.60,$112.85
01/27/2017,$113.38,8885852,$112.00,$113.5398,$111.90
01/26/2017,$111.84,10163060,$112.00,$112.84,$111.60
01/25/2017,$112.80,9373419,$111.93,$112.80,$110.76
01/24/2017,$111.76,12432170,$112.91,$113.30,$111.15
01/23/2017,$113.91,7983810,$114.51,$114.77,$113.80
01/20/2017,$114.15,7499223,$114.49,$115.03,$114.08
01/19/2017,$114.20,5539459,$114.68,$114.90,$113.92
01/18/2017,$114.70,5014568,$114.94,$115.10,$114.41
01/17/2017,$114.87,6255415,$113.94,$115.05,$113.67
01/13/2017,$114.60,4735022,$114.94,$115.02,$114.44
01/12/2017,$114.62,6622687,$114.27,$114.73,$113.37
01/11/2017,$114.73,8880478,$116.08,$116.25,$114.02
01/10/2017,$116.16,5312768,$116.03,$117.00,$115.87
01/09/2017,$116.28,5454115,$116.35,$116.61,$115.89
01/06/2017,$116.30,5218381,$116.67,$117.00,$115.76
01/05/2017,$116.86,5739435,$116.00,$116.97,$115.4401
01/04/2017,$115.65,5828492,$115.50,$116.23,$115.31
01/03/2017,$115.84,5952734,$115.78,$116.00,$115.23
12/30/2016,$115.21,5506726,$115.80,$115.99,$114.975
12/29/2016,$115.49,2993588,$115.23,$115.87,$115.01
12/28/2016,$115.10,3171943,$115.88,$116.16,$115.05
12/27/2016,$115.91,3232914,$115.89,$116.00,$115.38
12/23/2016,$115.96,2993283,$115.40,$116.32,$115.30
12/22/2016,$115.44,4602124,$115.00,$115.526,$113.88
12/21/2016,$115.31,5907736,$116.20,$116.20,$114.74
12/20/2016,$115.66,5714945,$115.98,$116.25,$114.91
12/19/2016,$116.02,6307348,$116.07,$116.66,$115.94
12/16/2016,$115.88,11291110,$116.41,$116.46,$115.46
12/15/2016,$115.89,6737431,$115.33,$115.92,$114.89
12/14/2016,$114.99,9378073,$116.12,$117.30,$114.58
12/13/2016,$115.89,6849757,$115.53,$115.97,$115.01
12/12/2016,$115.36,9522630,$112.69,$115.40,$112.58
12/09/2016,$112.26,7667549,$111.41,$112.43,$111.20
12/08/2016,$110.99,7774760,$110.54,$111.195,$109.93
12/07/2016,$111.10,11758630,$111.89,$111.89,$109.32
12/06/2016,$112.06,6530150,$112.24,$113.20,$111.85
12/05/2016,$111.94,5451514,$112.40,$112.42,$111.73
12/02/2016,$111.96,6163516,$111.72,$112.53,$111.44
12/01/2016,$111.38,8138568,$111.36,$111.5399,$111.00
11/30/2016,$111.30,11172470,$112.19,$112.52,$111.30
11/29/2016,$112.48,7791426,$112.95,$113.41,$112.165
11/28/2016,$113.13,9025809,$113.79,$114.12,$113.05
11/25/2016,$114.13,3433340,$113.60,$114.23,$113.38
11/23/2016,$113.07,8462726,$112.25,$113.43,$111.56
11/22/2016,$112.74,11649450,$114.59,$115.00,$112.27
11/21/2016,$115.00,5843009,$115.44,$115.6799,$114.80
11/18/2016,$115.36,7714342,$115.79,$115.92,$114.81
11/17/2016,$116.57,5724608,$116.68,$116.68,$116.12
11/16/2016,$116.36,6593499,$116.65,$116.78,$116.08
11/15/2016,$116.32,7446648,$116.40,$116.69,$115.82
11/14/2016,$116.60,10026630,$118.58,$118.99,$116.50
11/11/2016,$118.47,8118577,$119.49,$119.49,$118.13
11/10/2016,$119.54,11904270,$120.77,$121.10,$119.02
